;Date;High;Low;Open;Close;Volume;Adj Close;Adj_close_2
0;2010-06-29;25.0;17.540000915527344;19.0;23.88999938964844;18766300;23.88999938964844;570.7320708374028
1;2010-06-30;30.420000076293945;23.299999237060547;25.790000915527344;23.82999992370605;17187100;23.82999992370605;567.8688963638305
2;2010-07-01;25.920000076293945;20.270000457763672;25.0;21.959999084472656;8218800;21.959999084472656;482.2415597900399
3;2010-07-02;23.100000381469727;18.709999084472656;23.0;19.200000762939453;5139800;19.200000762939453;368.6400292968756
4;2010-07-06;20.0;15.829999923706056;20.0;16.110000610351562;6866900;16.110000610351562;259.5321196655277
5;2010-07-07;16.6299991607666;14.979999542236328;16.399999618530273;15.800000190734863;6921700;15.800000190734863;249.64000602722172
6;2010-07-08;17.520000457763672;15.56999969482422;16.139999389648438;17.459999084472656;7711400;17.459999084472656;304.851568029786
7;2010-07-09;17.899999618530273;16.549999237060547;17.579999923706055;17.399999618530273;4050600;17.399999618530273;302.75998672485366
8;2010-07-12;18.06999969482422;17.0;17.950000762939453;17.049999237060547;2202500;17.049999237060547;290.70247398376523
9;2010-07-13;18.63999938964844;16.899999618530273;17.389999389648438;18.13999938964844;2680100;18.13999938964844;329.0595778564458
10;2010-07-14;20.149999618530277;17.760000228881836;17.940000534057617;19.84000015258789;4195200;19.84000015258789;393.6256060546875
11;2010-07-15;21.5;19.0;19.940000534057617;19.88999938964844;3739800;19.88999938964844;395.61207572021533
12;2010-07-16;21.299999237060547;20.049999237060547;20.700000762939453;20.63999938964844;2621300;20.63999938964844;426.00957480468804
13;2010-07-19;22.25;20.920000076293945;21.3700008392334;21.90999984741211;2486500;21.90999984741211;480.04809331359866
14;2010-07-20;21.850000381469727;20.049999237060547;21.850000381469727;20.299999237060547;1825300;20.299999237060547;412.0899690246588
15;2010-07-21;20.899999618530277;19.5;20.65999984741211;20.21999931335449;1252500;20.21999931335449;408.84837223205597
16;2010-07-22;21.25;20.3700008392334;20.5;21.0;957800;21.0;441.0
17;2010-07-23;21.559999465942383;21.059999465942383;21.190000534057617;21.290000915527344;653600;21.290000915527344;453.26413898315514
18;2010-07-26;21.5;20.299999237060547;21.5;20.950000762939453;922200;20.950000762939453;438.90253196716367
19;2010-07-27;21.18000030517578;20.26000022888184;20.90999984741211;20.549999237060547;619700;20.549999237060547;422.30246864318906
20;2010-07-28;20.899999618530277;20.51000022888184;20.549999237060547;20.71999931335449;467200;20.71999931335449;429.31837154541046
21;2010-07-29;20.8799991607666;20.0;20.770000457763672;20.350000381469727;616000;20.350000381469727;414.122515525818
22;2010-07-30;20.440000534057617;19.549999237060547;20.200000762939453;19.940000534057617;426900;19.940000534057617;397.60362129821806
23;2010-08-02;20.96999931335449;20.32999992370605;20.5;20.920000076293945;718100;20.920000076293945;437.6464031921387
24;2010-08-03;21.950000762939453;20.81999969482422;21.0;21.950000762939453;1230500;21.950000762939453;481.8025334930426
25;2010-08-04;22.18000030517578;20.850000381469727;21.950000762939453;21.26000022888184;913000;21.26000022888184;451.9876097320559
26;2010-08-05;21.549999237060547;20.049999237060547;21.540000915527344;20.450000762939453;796200;20.450000762939453;418.2025312042242
27;2010-08-06;20.15999984741211;19.520000457763672;20.100000381469727;19.59000015258789;741900;19.59000015258789;383.7681059783936
28;2010-08-09;19.979999542236328;19.450000762939453;19.899999618530277;19.600000381469727;812700;19.600000381469727;384.1600149536134
29;2010-08-10;19.649999618530277;18.81999969482422;19.649999618530277;19.030000686645508;1281300;19.030000686645508;362.1409261337285
30;2010-08-11;18.8799991607666;17.850000381469727;18.690000534057617;17.899999618530273;797600;17.899999618530273;320.40998634338393
31;2010-08-12;17.899999618530273;17.389999389648438;17.799999237060547;17.600000381469727;691000;17.600000381469727;309.7600134277345
32;2010-08-13;18.450000762939453;17.65999984741211;18.18000030517578;18.31999969482422;634000;18.31999969482422;335.62238881835947
